subject,sess,trialNum,ons,pHipp,PREC,PCC,MPFC,PHC,RSC,aAG,pAG
sub-s001,Sess01,001,8.058373831002,-0.049116009157151,0.222695742382748,0.401658867374063,-0.151067378502339,-0.157185128778219,0.330523343801688,0.0994031424820423,-0.370279812496155
sub-s001,Sess01,002,29.018167166003,0.232891222350299,0.0367850418575108,0.156179945841432,0.290197871830314,0.419869986707345,0.355182297080755,0.095781968976371,0.0316631939566287
sub-s001,Sess01,003,50.011277426005,0.0507886148244143,0.051238929675892,0.187489850735292,0.451710304161534,0.0778423657361418,-0.0979468230903149,-0.240374395926483,-0.221724450818729
sub-s001,Sess01,004,71.004390226,0.0599302651640028,-0.0642313370574266,0.0262819060590118,0.564816034510732,-0.367860237983987,-0.0518477327283472,0.342523789796978,-1.50437274575233
sub-s001,Sess01,005,92.014179003003,0.261366318799555,0.211508654961362,0.358898102818057,0.416158522501937,0.386512986980379,0.119238921785727,0.517046202947386,0.0567465657927096
sub-s001,Sess01,006,113.007287624001,-0.0553228051401675,-0.236548209433386,-0.196140795168467,0.183371595369244,-0.113318212255836,0.0381435466161929,-0.318133129552007,0.0351920556928962
sub-s001,Sess01,007,134.017032266005,0.218331291228533,-0.0268411517795175,0.0803967080358416,0.728479257684667,-0.137991070859134,-0.347013972010463,0.0996404753159732,-0.173648660201579
sub-s001,Sess01,008,155.010154293006,0.355405116742477,0.478830363461748,0.113149797092192,0.522781820325181,0.292443454358727,-0.037367236725986,0.569935600184835,0.0752015014039353
sub-s001,Sess01,009,176.019917543003,0.0119566379277967,0.164937379765324,0.348861810322851,-0.0635353817604482,0.114661466293037,0.0511639379523695,0.134367389916442,-0.0679438462853432
sub-s001,Sess01,010,197.013052462004,-0.0512224550079554,-0.267458787644282,-0.368748507499695,0.0794038875959814,-0.0742888649366796,-0.0350120926229283,-0.844637428564019,-0.450495959618129
sub-s001,Sess01,011,218.006186706007,0.133575728517026,0.0338656489970163,-0.114261534623802,0.539720820393413,-0.124109443835914,-0.00890921607613564,0.0187895567901433,0.136983091817237
sub-s001,Sess01,012,239.015927771004,0.279219362773001,0.338381355386227,0.0254338474571705,0.642361068986356,0.207617702903226,-0.446011580750346,0.84972422266379,0.118123779147863
sub-s001,Sess01,013,260.009077638002,0.261844786889851,0.204389521956909,-0.198047484671697,-0.0775352408271283,-0.0782036074623466,0.166685684034601,0.256402679234743,-0.267857949419413
sub-s001,Sess01,014,281.018836476003,0.390017647547647,0.351273513734341,0.725511537268758,0.17399591174908,0.43659688744694,0.225698382044211,0.433960994640365,-0.071289169061929
sub-s001,Sess01,015,302.011915023002,0.086269909106195,-0.125871420269832,-0.109705256591551,0.290679673553095,0.138928473442793,0.0162752335026016,-0.0536895834701136,-0.712139586545527
sub-s001,Sess01,016,323.005087372003,-0.309903392158449,-0.373689502049238,-0.219513457417488,0.215550031792372,-0.0307318681664765,-0.24185452173464,-0.243566915700649,-0.0817003148898948
sub-s001,Sess01,017,344.014818571006,0.0725555830029771,0.199509940762073,0.0612891259323806,0.122093440964818,-0.197611400957685,-0.0979826134443283,0.0157729605678469,-0.322888060268015
sub-s001,Sess01,018,365.007965626006,0.0757224730588496,-0.0666321663747658,0.0567708274722099,0.0653900368884206,-0.0919698891486041,0.205125935515389,0.547212759375106,-0.150843364121392
sub-s001,Sess01,019,386.017714206006,0.280402305554599,0.315469178147614,0.118908591517247,0.164299239860848,0.474056720293593,0.185669713839889,-0.355787490578368,0.16664509344846
sub-s001,Sess01,020,407.010834556,-0.235002512633801,-0.333935679085553,-0.199465420953929,0.04674445906654,-0.213935900256038,0.109662497285753,-0.000664126155897975,-0.395812906390056
sub-s001,Sess01,021,428.004073288001,0.0550994439609349,-0.125355641888455,-0.278013899251819,-0.0715382094204688,-0.27969677593559,-0.218786426400184,-0.363018074491993,-0.0909267573431134
sub-s001,Sess01,022,449.013686104001,0.258266797405668,0.13216505523771,0.119135449621826,0.237571964180097,0.29666510101757,0.115696444660425,0.222564171943814,-0.129735263260081
sub-s001,Sess01,023,470.006817066002,-0.0716242460347712,-0.30146773932036,-0.264352273395634,-0.119158645120915,-0.0523292150348425,-0.229348945915699,-0.484863907364197,-0.306958578489721
sub-s001,Sess01,024,491.016631243001,0.166872664662078,0.026592979580164,-0.188803298715502,0.308526414372027,-0.308818183605326,-0.224786606840789,0.477159769078717,-0.147408159435727
sub-s001,Sess02,001,8.017818733002,-0.122485259160167,-0.111928603947163,-0.145091199353337,-0.279187563913874,-0.175096869263798,0.265768153443933,-0.709291989076883,0.114552959720604
sub-s001,Sess02,002,29.010908745004,0.165363998170942,0.241591677104589,0.048219924098812,0.00250256196130067,-0.304554378893226,-0.35001705236733,-0.118364793967921,0.0331324928626418
sub-s001,Sess02,003,50.004079268001,0.129755396139808,-0.0591461093313228,0.0392109677381814,0.562154858363792,-0.331599021041766,-0.0733395076589659,0.377372486069798,-0.761585950800218
sub-s001,Sess02,004,71.013808998003,-0.274183104392141,0.0114758098684251,0.0621112009976059,-0.31918874359224,0.0390750681608915,0.0275588494539261,-0.381048454530537,-0.296263600699604
sub-s001,Sess02,005,92.006941013002,-0.197151805870235,-0.318181244835723,-0.293877573311329,0.542471604701132,-0.465654326379299,-0.0608657611021772,-0.808320004530251,0.15718896470964
sub-s001,Sess02,006,113.016682495007,0.445961655252613,0.108466192521155,0.187600526846945,0.655419121384621,-0.0216454699356109,-0.106344407047145,0.0329876665468328,-0.795268091596663
sub-s001,Sess02,007,134.009835755001,0.130368010364473,0.13356519918656,0.219102008994669,0.12223222316592,-0.0769331232318655,-0.248406732659787,0.440471209958196,-0.0275441659288481
sub-s001,Sess02,008,155.019579893,-0.111054059974849,-0.269476078227162,-0.12763697033748,-0.322922366764396,-0.342828666588757,-0.0739961317926645,-0.590456682499498,-0.309453814094886
sub-s001,Sess02,009,176.01267471,-0.0436706917360425,-0.47225969504565,-0.00742971727740951,-0.0756825685221702,-0.217376703678165,-0.0759759205859154,0.0831816894561052,0.0265374593250453
sub-s001,Sess02,010,197.005827604,-0.200026140585542,-0.19318326421082,0.00953911914490163,0.172284209914505,-0.238676884286106,-0.106152568608522,0.219369640382938,-0.094330619215034
sub-s001,Sess02,011,218.015587538001,0.286824200665578,0.348129444457591,-0.354099721219391,0.385115524674766,-0.169114145077765,-0.209417171794921,-0.0336914991308004,-0.609803221048787
sub-s001,Sess02,012,239.008698628,-0.0398969258833677,-0.259825425511226,-0.180743677173741,0.377668040734716,-0.233052027281374,0.0529940451774746,-0.15568126949016,-0.56841953266412
